"CU_Number","CYCLE_DATE","JOIN_NUMBER","ACCT_AS0001","ACCT_AS0003","ACCT_AS0004","ACCT_AS0005","ACCT_AS0010","ACCT_AS0041","ACCT_AS0048","ACCT_AS0050","ACCT_AS0051","ACCT_AS0052","ACCT_AS0053","ACCT_AS0054","ACCT_AS0055","ACCT_AS0056","ACCT_AS0057","ACCT_AS0058","ACCT_AS0059","ACCT_AS0060","ACCT_AS0061","ACCT_AS0062","ACCT_AS0063","ACCT_AS0064","ACCT_AS0065","ACCT_AS0066","ACCT_AS0067","ACCT_AS0068","ACCT_AS0069","ACCT_AS0070","ACCT_AS0071","ACCT_AS0072","ACCT_AS0073","ACCT_DL0121","ACCT_EQ0009","ACCT_IS0004","ACCT_IS0011","ACCT_IS0012","ACCT_IS0013","ACCT_IS0016","ACCT_IS0017","ACCT_IS0021","ACCT_IS0022","ACCT_LC0047","ACCT_LC0085","ACCT_LI0003","ACCT_LI0069","ACCT_LN0050","ACCT_LN0051","ACCT_LN0052","ACCT_LN0053","ACCT_LN0054","ACCT_LN0055","ACCT_LN0056","ACCT_LN0057","ACCT_NW0001","ACCT_NW0002","ACCT_NW0010","ACCT_PC0001","ACCT_PC0002","ACCT_PC0003","ACCT_PC0004","ACCT_PC0005","ACCT_PC0006","ACCT_PC0007","ACCT_PC0008","ACCT_PC0009","ACCT_PC0010","ACCT_SL0003","ACCT_IS0020","ACCT_IS0026","ACCT_IS0046","ACCT_IS0047","ACCT_SL0012","ACCT_SL0013","ACCT_SL0014","ACCT_SL0015","ACCT_SL0016","ACCT_SL0017","ACCT_AS0042"
1,3/31/2024 0:00:00,2,0,0,39119,0,1,0,30223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500,0,0,0,7500,0,0,0,0,0,9859933,0,0,0,0,0,0,0,0,03/01/2023,7500,11187397,0,0,0,0,0,0,0,0,0,0,0,11931,0,0,0,0,0,0,0,0,0,0
6,3/31/2024 0:00:00,7,0,0,4301286,0,1,0,3132468,0,0,0,0,0,0,0,0,0,0,0,0,5800381,18751062,6467000,2025184,0,33043627,0,0,0,0,0,0,0,-2573281,0,589721,0,0,1380,591101,0,0,0,0,66025,254787898,0,0,0,0,0,0,0,0,01/01/2023,0,275381898,0,0,0,0,0,0,0,0,0,0,0,420808,0,0,0,0,0,136,1973327,0,0,0
12,3/31/2024 0:00:00,11,0,883170,175042,55352,1,0,857990,0,0,325000,0,0,325000,0,0,0,0,0,0,0,0,0,0,0,0,1498341,4176868,235491,0,0,5910701,0,0,0,157338,0,0,0,157338,0,0,0,0,0,57007688,0,0,0,0,0,0,0,0,04/01/2023,0,61526262,0,0,0,0,0,0,0,0,0,0,0,279093,0,0,0,0,0,0,0,0,0,0
13,3/31/2024 0:00:00,12,0,86499882,3004566,2344480,1,0,3301896,0,0,0,0,0,0,0,0,0,0,0,0,0,328381,0,0,0,328381,0,0,0,0,0,0,0,-26347,0,653517,0,0,0,653517,0,0,0,0,0,973006993,0,0,0,0,0,0,0,0,01/01/2023,2278236,1059610146,0,0,0,0,0,0,0,0,0,0,0,1600876,0,0,0,0,0,0,0,0,0,0
16,3/31/2024 0:00:00,14,0,0,98410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8382209,0,0,0,0,0,0,0,0,,0,9656630,0,0,0,0,0,0,0,0,0,0,0,7484,0,0,0,0,0,0,0,0,0,0
19,3/31/2024 0:00:00,16,0,0,30,0,1,0,32698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4965000,3305000,0,0,0,8270000,0,0,0,0,0,0,0,0,0,0,0,0,0,7409364,0,0,0,0,0,0,0,0,Fiscal Year 2022,0,10351728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3/31/2024 0:00:00,17,0,21815461,766485,32208,1,0,1477727,2361394,0,0,0,0,2361394,0,0,0,0,0,0,2460978,1291075,6765232,1723973,0,12241258,0,0,0,0,0,0,0,-1886530,0,0,0,0,0,0,0,0,0,0,0,276231367,0,0,0,0,0,0,0,0,12/01/2023,564939,324570476,0,0,0,0,0,0,0,0,0,0,0,336850,0,92259,26,0,0,0,0,0,0,0
26,3/31/2024 0:00:00,19,0,0,304406,0,1,0,70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19113332,0,0,0,0,0,0,0,0,01/01/2023,53172,21246900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3/31/2024 0:00:00,21,0,12454052,6902140,0,1,0,12384610,0,0,0,0,0,0,0,0,0,0,0,0,0,1345974,12088414,40965087,5885618,60285092,0,0,0,0,0,0,0,-14892415,0,4217487,0,0,0,4217487,0,0,0,0,0,1216956712,7,245617,47052,0,0,0,4,43991,07/01/2023,5646897,1320344928,0,0,0,0,0,0,0,0,0,0,0,1738960,0,0,0,0,0,1,500000,0,0,0
42,3/31/2024 0:00:00,29,0,0,1394880,0,1,0,506267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100000,5700000,900000,0,0,8700000,0,0,0,0,0,0,0,0,0,0,0,0,0,129575412,0,0,0,0,0,0,0,0,10/01/2023,100174,144888571,0,0,0,0,0,0,0,0,0,0,0,91443,0,0,0,0,0,0,0,0,0,0
