"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_AS0007","ACCT_AS0008","ACCT_AS0009","ACCT_AS0013","ACCT_AS0016","ACCT_AS0017","ACCT_AS0022","ACCT_AS0023","ACCT_AS0024","ACCT_AS0025","ACCT_AS0032","ACCT_AS0036","ACCT_CM0099","ACCT_CH0007","ACCT_CH0008","ACCT_CH0015","ACCT_CH0016","ACCT_CH0017","ACCT_CH0018","ACCT_CH0019","ACCT_CH0020","ACCT_CH0021","ACCT_CH0022","ACCT_CH0023","ACCT_CH0024","ACCT_CH0025","ACCT_CH0026","ACCT_CH0027","ACCT_CH0028","ACCT_CH0029","ACCT_CH0030","ACCT_CH0031","ACCT_CH0032","ACCT_CH0033","ACCT_CH0034","ACCT_CH0035","ACCT_CH0036","ACCT_CH0037","ACCT_CH0038","ACCT_CH0039","ACCT_CH0040","ACCT_CH0047","ACCT_CH0048","ACCT_DL0002","ACCT_DL0009","ACCT_DL0016","ACCT_DL0022","ACCT_DL0023","ACCT_DL0024","ACCT_DL0025","ACCT_DL0026","ACCT_DL0027","ACCT_DL0028","ACCT_DL0030","ACCT_DL0037","ACCT_DL0044","ACCT_DL0050","ACCT_DL0051","ACCT_DL0052","ACCT_DL0053","ACCT_DL0054","ACCT_DL0055","ACCT_DL0056","ACCT_DL0057","ACCT_DL0058","ACCT_DL0059","ACCT_DL0060","ACCT_DL0061","ACCT_DL0062","ACCT_DL0063","ACCT_DL0064","ACCT_DL0065","ACCT_DL0066","ACCT_DL0067","ACCT_DL0068","ACCT_DL0069","ACCT_DL0070","ACCT_DL0071","ACCT_DL0072","ACCT_DL0073","ACCT_DL0074","ACCT_DL0075","ACCT_DL0076","ACCT_DL0077","ACCT_DL0078","ACCT_DL0079","ACCT_DL0080","ACCT_DL0081","ACCT_DL0082","ACCT_DL0083","ACCT_DL0084","ACCT_DL0085","ACCT_DL0086","ACCT_DL0087","ACCT_DL0088","ACCT_DL0089","ACCT_DL0090","ACCT_DL0091","ACCT_DL0092","ACCT_DL0093","ACCT_DL0094","ACCT_DL0095","ACCT_DL0096","ACCT_DL0097","ACCT_DL0098","ACCT_DL0099","ACCT_DL0100","ACCT_DL0101","ACCT_DL0102","ACCT_DL0103","ACCT_DL0104","ACCT_DL0105","ACCT_DL0106","ACCT_DL0107","ACCT_DL0108","ACCT_DL0109","ACCT_DL0110","ACCT_DL0111","ACCT_DL0112","ACCT_DL0113","ACCT_DL0114","ACCT_DL0115","ACCT_DL0116","ACCT_DL0117","ACCT_DL0118","ACCT_DL0119","ACCT_DL0120","ACCT_DL0122","ACCT_DL0123","ACCT_DL0124","ACCT_DL0125","ACCT_DL0126","ACCT_DL0127","ACCT_DL0128","ACCT_DL0129","ACCT_DL0130","ACCT_DL0131","ACCT_DL0132","ACCT_DL0133","ACCT_DL0134","ACCT_DL0135","ACCT_DL0136","ACCT_DL0137","ACCT_DL0138","ACCT_DL0139","ACCT_DL0140","ACCT_DL0141","ACCT_DL0142","ACCT_DL0144","ACCT_DL0145","ACCT_DL0146","ACCT_DL0147","ACCT_DT0001","ACCT_DT0002","ACCT_DT0003","ACCT_DT0004","ACCT_DT0005","ACCT_DT0006","ACCT_DT0007","ACCT_DT0008","ACCT_DT0009","ACCT_DT0010","ACCT_DT0011","ACCT_DT0012","ACCT_DT0013","ACCT_DT0014","ACCT_DT0015","ACCT_DT0016","ACCT_IN0001","ACCT_IN0002","ACCT_IN0003","ACCT_IN0004","ACCT_IN0005","ACCT_IN0006","ACCT_IN0007","ACCT_IN0008","ACCT_IS0005","ACCT_IS0010","ACCT_IS0029","ACCT_IS0030","ACCT_LQ0013","ACCT_LQ0014","ACCT_LQ0015","ACCT_LQ0016","ACCT_LQ0017","ACCT_IS0048","ACCT_IS0049","ACCT_DL0148","ACCT_DL0149"
1,6/30/2024 0:00:00,2,Subm,1200000,0,2167913,0,0,2361,0,0,0,0,0,-1313,0,13734,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9083,2770,0,390,0,3160,3,0,1993,0,18569,3072,0,0,0,3072,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217665,0,0,0,0,0,0,0,0,0,0,0
6,6/30/2024 0:00:00,7,Subm,454564,0,32481020,32976567,0,351932,0,0,51800,33100,0,10580913,1329482,495903,168525,31942,870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110419,0,15857,352241,159148,114579,77589,8745,360061,92,0,554394,0,169306,1851,120080,26632,0,148563,9,0,153655,0,492472,0,646127,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78926,0,78926,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,995324,149055,0,2979113,78926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1608225,0,0,0,0,203,3131198,0,6065933,0,0,0,0,0,0,0,0,0,21,297324
12,6/30/2024 0:00:00,11,WISE,15739265,0,17469321,6221524,30200,210200,0,0,0,0,0,3420276,0,203161,34627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14505,1740,0,49892,41545,65398,4042,0,110985,74,6410,13331,0,7000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77531,0,0,3983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1474104,0,0,0,0,0,0,0,0,0,0,0
13,6/30/2024 0:00:00,12,Subm,100000,0,59620126,302011,4832360,4832360,0,0,777035,0,0,9999629,0,304170,69194,25039,65,0,12013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57288,0,0,312496,50456,64207,7502,19265,141430,27,682018,824075,0,141543,17746,528,0,0,18274,4,396245,0,0,182764,142633,325397,2,1581291,193327,47052,21456,0,261835,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1824910,0,0,1702879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19712,556770258,0,0,0,0,1,8436,0,12025216,0,0,52141420,0,62357778,0,62357778,1022422,423157,11,115287
16,6/30/2024 0:00:00,14,Subm,4494000,0,5662595,0,0,40341,0,0,0,0,0,45545,0,7346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529,0,529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160936,0,0,0,0,0,0,0,0,0,0,0
19,6/30/2024 0:00:00,16,Subm,0,0,970941,7315000,0,2857,0,0,0,0,0,34351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,570,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141219,0,0,0,0,0,0,0,0,0,0,0
22,6/30/2024 0:00:00,17,Subm,21356000,0,54393032,15151829,15159300,15159300,0,0,0,0,0,2689070,0,66535,8083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8934,0,0,42881,20266,0,0,0,20266,2,0,10054,0,0,0,0,0,0,0,0,0,0,0,210057,0,210057,1,0,0,0,243737,0,243737,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39254,0,0,363824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5764508,0,0,0,0,0,0,0,0,0,0,0
26,6/30/2024 0:00:00,19,Subm,12903000,0,14538557,0,0,111464,0,0,0,0,0,60868,0,11868,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29519,0,0,0,29519,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292897,0,0,0,0,0,0,0,0,0,0,0
28,6/30/2024 0:00:00,21,Subm,0,0,15045011,58858493,18114300,18119659,0,0,653887,7100,0,46582095,26543373,2048423,396100,153824,22506,0,0,847,10614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,0,0,0,0,0,0,0,0,0,772967,560227,728741,75205,7359,1371532,286,428205,4129178,0,649221,251153,249742,62779,34525,598199,41,2516814,973919,1064804,150472,113975,2303170,18,548600,1106191,0,0,0,1106191,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7448873,0,0,15786010,0,0,25000000,81429,0,0,40000000,1691131,0,0,0,0,0,0,0,0,0,0,17551,357929560,0,0,0,0,0,0,0,26526372,0,-1033264,70710164,17737644,72324397,0,90062041,3909705,407330,12,121489
42,6/30/2024 0:00:00,29,Subm,40874000,0,51655824,8700000,0,66000,0,0,0,0,0,943546,0,92886,16882,0,0,0,350,0,0,0,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,0,0,74412,35635,42351,114770,41879,234635,54,120607,61926,0,0,0,0,0,0,0,0,0,0,0,91011,0,91011,1,139973,144808,0,0,0,144808,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372899,0,0,655904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9607,0,0,0,0,0,0,0,2503800,0,0,0,0,0,0,0,0,0,0,0
