"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PG0002","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PP0049","ACCT_PP0050","ACCT_PP0051","ACCT_PP0052","ACCT_PP0053","ACCT_PP0054","ACCT_PP0055","ACCT_PP0056","ACCT_PP0057","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004"
1,6/30/2024 0:00:00,2,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
6,6/30/2024 0:00:00,7,"5493006GFSNOUCCL1W91","Combination","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 20 2024  6:00AM"
12,6/30/2024 0:00:00,11,"254900TYE85Q9OTQ5038","Manual","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Dec 31 2023  5:00AM"
13,6/30/2024 0:00:00,12,"549300U18MOAH5F95P15","Automated","1","1","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 14 2024  6:00AM"
16,6/30/2024 0:00:00,14,"","Manual","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
19,6/30/2024 0:00:00,16,"","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
22,6/30/2024 0:00:00,17,"5493001BJFQ0EM41N379","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  5 2024  5:00AM"
26,6/30/2024 0:00:00,19,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","",""
28,6/30/2024 0:00:00,21,"","Automated","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1",""
42,6/30/2024 0:00:00,29,"2549001jpw8twjymne74","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","","",""
47,6/30/2024 0:00:00,30,"","Combination","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","",""
48,6/30/2024 0:00:00,31,"","Combination","1","0","0","0","0","0","0","1","1","0","0","1","0","0","0","0","0","0","0","0","0","1","","",""
