"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","CU_NAME","GrantId","DateAwarded","Amount","Grantor","OtherGrantor","GrantType"
1,6/30/2024 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4206,12/22/2014 0:00:00,1000,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,6/30/2024 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4532,6/29/2015 0:00:00,750,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,6/30/2024 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",4649,7/31/2015 0:00:00,7500,"Other","Small CU Initiatives Cyber Security","Program Grant"
1,6/30/2024 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",5616,10/10/2016 0:00:00,1250,"Other","CORNERSTONE CU LEAGUE","Program Grant"
1,6/30/2024 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",6554,5/22/2018 0:00:00,2500,"Other","CORNERSTON CU LEAGUE","Program Grant"
1,6/30/2024 0:00:00,2,"MORRIS SHEPPARD TEXARKANA",8074,5/22/2020 0:00:00,2063,"Other","CORNERSTON CU LEAGUE","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",860,10/1/2009 0:00:00,27000,"National Credit Union Foundation","","Not Collected"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",3551,9/4/2013 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",3806,3/1/2014 0:00:00,2500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4134,8/1/2014 0:00:00,6000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4824,8/5/2015 0:00:00,20000,"National Federation of Community Development Credit Unions","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",4825,7/31/2015 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",7585,11/20/2019 0:00:00,1029000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",8522,9/24/2020 0:00:00,657000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",9179,6/15/2021 5:00:00 AM,1826000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",9446,9/16/2021 5:00:00 AM,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",9650,12/8/2021 6:00:00 AM,625000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",9651,12/2/2021 6:00:00 AM,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",10269,9/27/2022 5:00:00 AM,271988,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",10270,8/31/2022 5:00:00 AM,50000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",10513,2/28/2023 6:00:00 AM,660000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",10719,4/10/2023 5:00:00 AM,3718258,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
12,6/30/2024 0:00:00,11,"FRANKLIN TRUST",10009,8/31/2022 4:00:00 AM,7000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
12,6/30/2024 0:00:00,11,"FRANKLIN TRUST",10834,9/28/2023 4:00:00 AM,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
13,6/30/2024 0:00:00,12,"EFCU FINANCIAL",3447,8/26/2013 0:00:00,55680,"Other","LA Incumbent Worker Training Program","Program Grant"
13,6/30/2024 0:00:00,12,"EFCU FINANCIAL",4727,7/21/2015 0:00:00,49792,"Other","Louisiana Workforce Commission – Incumbent Worker Training Program","Program Grant"
13,6/30/2024 0:00:00,12,"EFCU FINANCIAL",6621,10/1/2018 0:00:00,63663,"Other","Louisiana Workforce Commission – Incumbent Worker Training Program","Program Grant"
26,6/30/2024 0:00:00,19,"FARMERS",4358,1/6/2015 0:00:00,900,"Other","OSCUIP-NCUA","Program Grant"
53,6/30/2024 0:00:00,33,"MOTION",8183,4/8/2020 0:00:00,5000,"Other","Alloya Federal Corporate Credit Union","Pass Through"
79,6/30/2024 0:00:00,43,"CAMPUS",5509,12/30/2016 0:00:00,7000,"Other","Offcie of Small Credit Union Initiatives","Program Grant"
79,6/30/2024 0:00:00,43,"CAMPUS",5510,10/11/2016 0:00:00,12500,"Other","Louisiana Credit Union League","Pass Through"
79,6/30/2024 0:00:00,43,"CAMPUS",5511,9/23/2016 0:00:00,3000,"Other","Federal Home Loan Bank","Pass Through"
79,6/30/2024 0:00:00,43,"CAMPUS",5512,8/25/2016 0:00:00,12500,"Other","Louisiana Credit Union League","Pass Through"
79,6/30/2024 0:00:00,43,"CAMPUS",9222,9/30/2021 5:00:00 AM,14000,"Federal Home Loan Bank","","Pass Through"
79,6/30/2024 0:00:00,43,"CAMPUS",9223,9/7/2021 5:00:00 AM,10650,"Other","Louisiana Credit Union League","Pass Through"
98,6/30/2024 0:00:00,54,"NIAGARA FALLS TEACHERS",7360,8/8/2019 4:00:00 AM,3000,"State League Foundation","","Program Grant"
98,6/30/2024 0:00:00,54,"NIAGARA FALLS TEACHERS",8557,10/8/2020 4:00:00 AM,1500,"State League Foundation","","Program Grant"
107,6/30/2024 0:00:00,57,"KEMBA ROANOKE",7339,8/29/2019 0:00:00,8000,"Community Development Financial Institution (CDFI)","","Program Grant"
108,6/30/2024 0:00:00,58,"KEMBA CHARLESTON",1,10/21/2011 0:00:00,750,"Other","VITA","Not Collected"
108,6/30/2024 0:00:00,58,"KEMBA CHARLESTON",1900,8/15/2012 0:00:00,6344,"Other","NCUA","Not Collected"
108,6/30/2024 0:00:00,58,"KEMBA CHARLESTON",3691,3/10/2014 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
108,6/30/2024 0:00:00,58,"KEMBA CHARLESTON",3965,9/18/2014 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
108,6/30/2024 0:00:00,58,"KEMBA CHARLESTON",4572,7/1/2015 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
110,6/30/2024 0:00:00,59,"ITALO-AMERICAN",4573,7/3/2015 0:00:00,3000,"Other","NCUA","Program Grant"
110,6/30/2024 0:00:00,59,"ITALO-AMERICAN",10150,5/13/2022 4:00:00 AM,6793,"Other","NCUA","Program Grant"
132,6/30/2024 0:00:00,69,"MOUNT VERNON NY POSTAL EMPLOYEES",7817,4/27/2020 0:00:00,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
132,6/30/2024 0:00:00,69,"MOUNT VERNON NY POSTAL EMPLOYEES",10802,9/28/2023 4:00:00 AM,35000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
132,6/30/2024 0:00:00,69,"MOUNT VERNON NY POSTAL EMPLOYEES",11015,10/10/2023 4:00:00 AM,10000,"Other","Inclusiv","Program Grant"
168,6/30/2024 0:00:00,88,"NORTHERN INDIANA",8418,5/1/2020 0:00:00,5000,"Other","Indiana Credit Union League","Program Grant"
168,6/30/2024 0:00:00,88,"NORTHERN INDIANA",8419,4/1/2020 0:00:00,5000,"Other","Alloya Corporate CU","Program Grant"
187,6/30/2024 0:00:00,100,"FLORIDA A & M UNIVERSITY",8546,10/1/2020 0:00:00,17500,"Other","Inclusiv Resilience Fund","Capital- unrestricted donation to equity"
187,6/30/2024 0:00:00,100,"FLORIDA A & M UNIVERSITY",8787,11/17/2020 0:00:00,1000000,"Other","Leon County Board of Commissioners","Program Grant"
187,6/30/2024 0:00:00,100,"FLORIDA A & M UNIVERSITY",9188,6/30/2021 4:00:00 AM,5000,"Other","Inclusiv Resilience Fund","Capital- unrestricted donation to equity"
187,6/30/2024 0:00:00,100,"FLORIDA A & M UNIVERSITY",9402,6/15/2021 4:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
187,6/30/2024 0:00:00,100,"FLORIDA A & M UNIVERSITY",9823,4/7/2022 4:00:00 AM,2000000,"Other","City of Tallahassee, Leon County","Subsidy for Risk or ALL"
187,6/30/2024 0:00:00,100,"FLORIDA A & M UNIVERSITY",9998,9/1/2022 4:00:00 AM,10000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
187,6/30/2024 0:00:00,100,"FLORIDA A & M UNIVERSITY",10207,12/12/2022 5:00:00 AM,20000,"Other","Inculsiv Racial Equity Fund","Capital- unrestricted donation to equity"
195,6/30/2024 0:00:00,104,"NORTHWEST ARKANSAS",4983,4/2/2015 0:00:00,2247,"Other","NCUA OSCUI","Program Grant"
195,6/30/2024 0:00:00,104,"NORTHWEST ARKANSAS",5147,4/15/2016 0:00:00,2000,"Other","Cornerstone Credit Union Foundation","Program Grant"
195,6/30/2024 0:00:00,104,"NORTHWEST ARKANSAS",5445,7/28/2016 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
195,6/30/2024 0:00:00,104,"NORTHWEST ARKANSAS",5703,3/23/2017 0:00:00,1500,"Other","Cornerstone Credit Union Foundation","Program Grant"
195,6/30/2024 0:00:00,104,"NORTHWEST ARKANSAS",5973,8/30/2017 0:00:00,7500,"Other","NCUA OSCUI","Program Grant"
195,6/30/2024 0:00:00,104,"NORTHWEST ARKANSAS",6512,5/22/2018 0:00:00,3000,"Other","Cornerstone Credit Union Foundation","Program Grant"
196,6/30/2024 0:00:00,105,"GTE",4264,9/24/2013 0:00:00,1347000,"Community Development Financial Institution (CDFI)","","Subsidy for Risk or ALL"
196,6/30/2024 0:00:00,105,"GTE",5066,9/10/2015 0:00:00,1750000,"Community Development Financial Institution (CDFI)","","Program Grant"
196,6/30/2024 0:00:00,105,"GTE",6414,9/19/2017 0:00:00,776500,"Community Development Financial Institution (CDFI)","","Program Grant"
196,6/30/2024 0:00:00,105,"GTE",6944,11/1/2018 0:00:00,14350,"Other","NCUA","Program Grant"
196,6/30/2024 0:00:00,105,"GTE",7558,12/17/2019 0:00:00,525000,"Community Development Financial Institution (CDFI)","","Program Grant"
196,6/30/2024 0:00:00,105,"GTE",8475,9/24/2020 0:00:00,500000,"Community Development Financial Institution (CDFI)","","Program Grant"
196,6/30/2024 0:00:00,105,"GTE",9180,6/1/2021 4:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
224,6/30/2024 0:00:00,119,"MAGNOLIA",7505,11/19/2019 0:00:00,714000,"Community Development Financial Institution (CDFI)","","Program Grant"
224,6/30/2024 0:00:00,119,"MAGNOLIA",8943,6/15/2021 5:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
224,6/30/2024 0:00:00,119,"MAGNOLIA",9385,8/30/2021 5:00:00 AM,50000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
224,6/30/2024 0:00:00,119,"MAGNOLIA",10336,2/28/2023 6:00:00 AM,667900,"Community Development Financial Institution (CDFI)","","Program Grant"
234,6/30/2024 0:00:00,125,"PITTSBURGH FIREFIGHTER'S",4430,6/30/2015 0:00:00,3000,"Other","office of small C.U. initatives","Program Grant"
242,6/30/2024 0:00:00,129,"GULF COAST COMMUNITY",3524,9/24/2013 0:00:00,1003730,"Community Development Financial Institution (CDFI)","","Program Grant"
242,6/30/2024 0:00:00,129,"GULF COAST COMMUNITY",4831,9/10/2015 0:00:00,2000000,"Community Development Financial Institution (CDFI)","","Program Grant"
262,6/30/2024 0:00:00,139,"EP",8316,6/15/2020 0:00:00,7500,"Other","NCUA - CDRLF","Program Grant"
288,6/30/2024 0:00:00,155,"FARGO VA",4420,4/2/2015 0:00:00,3000,"Other","NCUA-OSCUI","Program Grant"
288,6/30/2024 0:00:00,155,"FARGO VA",7835,8/6/2020 0:00:00,3460,"Other","CDRLF - URGENT NEEDS GRANT","Program Grant"
352,6/30/2024 0:00:00,188,"TAMPA BAY",6927,10/29/2018 0:00:00,20000,"National Credit Union Foundation","","Program Grant"
352,6/30/2024 0:00:00,188,"TAMPA BAY",7415,9/30/2019 0:00:00,5000,"National Credit Union Foundation","","Program Grant"
352,6/30/2024 0:00:00,188,"TAMPA BAY",7416,9/30/2019 0:00:00,56042,"National Credit Union Foundation","","Program Grant"
352,6/30/2024 0:00:00,188,"TAMPA BAY",9067,6/8/2021 5:00:00 AM,1826265,"Community Development Financial Institution (CDFI)","","Program Grant"
361,6/30/2024 0:00:00,193,"SPERO FINANCIAL",6054,8/30/2017 0:00:00,7500,"Community Development Financial Institution (CDFI)","","Program Grant"
370,6/30/2024 0:00:00,201,"PPG & ASSOCIATES",3427,9/5/2013 0:00:00,2700,"Other","Pa Credit Union Foundation","Program Grant"
373,6/30/2024 0:00:00,203,"NEW ALLIANCE",6945,10/31/2018 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
373,6/30/2024 0:00:00,203,"NEW ALLIANCE",7928,6/29/2020 0:00:00,1000,"Other","Association of Credit Union Leagues","Program Grant"
373,6/30/2024 0:00:00,203,"NEW ALLIANCE",8352,5/6/2020 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
373,6/30/2024 0:00:00,203,"NEW ALLIANCE",8896,12/31/2020 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
389,6/30/2024 0:00:00,214,"CINCINNATI OHIO POLICE",3177,3/1/2013 5:00:00 AM,20000,"Other","Ohio Credit Union League","Program Grant"
389,6/30/2024 0:00:00,214,"CINCINNATI OHIO POLICE",5177,5/19/2016 0:00:00,1495,"Other","Ohio Credit Union League","Program Grant"
389,6/30/2024 0:00:00,214,"CINCINNATI OHIO POLICE",5178,4/21/2016 0:00:00,1407,"Other","Ohio Credit  Union League","Program Grant"
389,6/30/2024 0:00:00,214,"CINCINNATI OHIO POLICE",7080,4/25/2019 0:00:00,1095,"Other","Ohio Credit Union League","Program Grant"
390,6/30/2024 0:00:00,215,"ELLIOTT COMMUNITY",4318,3/9/2015 0:00:00,10000,"Other","Pennsylvania Credit Union Foundation","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",3152,10/23/2012 0:00:00,490,"Other","LA WORKFORCE COMMISION","Not Collected"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",3153,9/14/2012 0:00:00,2875,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",3154,7/31/2012 0:00:00,5625,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",3155,7/27/2012 0:00:00,490,"Other","LA WORKFORCE COMMISSION","Not Collected"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",4368,2/20/2015 0:00:00,600,"Other","LA WORKFORCE COMMISSION","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",4957,10/5/2015 0:00:00,1375,"Other","Credit Union Leagues","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",5201,6/30/2016 0:00:00,400,"Other","Credit Union Leagues","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",5306,7/26/2016 0:00:00,7500,"Other","NCUA","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",6091,7/10/2017 0:00:00,1000,"Other","Credit Union Leagues","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",6285,11/27/2017 0:00:00,25000,"National Credit Union Foundation","","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",6286,3/20/2017 0:00:00,5879,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",7738,11/19/2019 0:00:00,799000,"Community Development Financial Institution (CDFI)","","Program Grant"
404,6/30/2024 0:00:00,222,"GREATER NEW ORLEANS",10621,2/28/2023 6:00:00 AM,797900,"Community Development Financial Institution (CDFI)","","Program Grant"
422,6/30/2024 0:00:00,229,"PITTSBURGH",5,10/1/2008 0:00:00,1500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
422,6/30/2024 0:00:00,229,"PITTSBURGH",1730,12/13/2011 0:00:00,5000,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
422,6/30/2024 0:00:00,229,"PITTSBURGH",3068,7/13/2012 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Not Collected"
430,6/30/2024 0:00:00,232,"DEEPWATER INDUSTRIES",6231,8/30/2017 0:00:00,10000,"National Credit Union Foundation","","Program Grant"
464,6/30/2024 0:00:00,246,"EAGLE ONE",4225,8/1/2014 0:00:00,2500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
464,6/30/2024 0:00:00,246,"EAGLE ONE",5318,9/12/2016 0:00:00,7500,"NCUA Technical Assistance Program - Community Development Revolving Loan Fund (CDRLF)","","Program Grant"
