"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
6,6/30/2024 0:00:00,7,"THE NEW ORLEANS FIREMEN'S",1109,"NOFFCU"
51,6/30/2024 0:00:00,32,"BROADVIEW",996,"Broadview"
51,6/30/2024 0:00:00,32,"BROADVIEW",997,"SEFCU, A Division of Broadview"
51,6/30/2024 0:00:00,32,"BROADVIEW",998,"CAP COM, A Division of Broadview"
77,6/30/2024 0:00:00,41,"SERVICE FIRST",416,"CU Marketing Group LLC"
77,6/30/2024 0:00:00,41,"SERVICE FIRST",718,"Falls Landing"
82,6/30/2024 0:00:00,46,"FIRST ATLANTIC",75,"First Atlantic Federal Credit Un"
82,6/30/2024 0:00:00,46,"FIRST ATLANTIC",76,"First Atlantic FCU"
107,6/30/2024 0:00:00,57,"KEMBA ROANOKE",374,"KEMBA Credit Union"
107,6/30/2024 0:00:00,57,"KEMBA ROANOKE",1130,"KEMBA FEDERAL CREDIT UNION"
151,6/30/2024 0:00:00,78,"JUSTICE",227,"Justice FCU"
151,6/30/2024 0:00:00,78,"JUSTICE",228,"JFCU"
159,6/30/2024 0:00:00,83,"THREE RIVERS",3,"3Rivers"
176,6/30/2024 0:00:00,92,"EDUCATIONAL",794,"Education Federal Credit Union"
196,6/30/2024 0:00:00,105,"GTE",490,"GTE Financial"
227,6/30/2024 0:00:00,121,"PENTAGON",118,"Pentagon Federal Credit Union"
227,6/30/2024 0:00:00,121,"PENTAGON",119,"PenFed"
266,6/30/2024 0:00:00,143,"LIBRARY OF CONGRESS",450,"NAFCU"
340,6/30/2024 0:00:00,183,"RADIFI",15,"RadiFi Credit Union"
361,6/30/2024 0:00:00,193,"SPERO FINANCIAL",906,"Spero Financial"
383,6/30/2024 0:00:00,211,"ON THE GRID FINANCIAL",66,"CUontheGrid"
435,6/30/2024 0:00:00,235,"STATE DEPARTMENT",523,"SDFCU"
566,6/30/2024 0:00:00,290,"NUVISION",553,"Nuvision Credit Union"
566,6/30/2024 0:00:00,290,"NUVISION",668,"Denali, a Division of Nuvision C"
594,6/30/2024 0:00:00,302,"PASADENA",1131,"Pasadena Service Federal Credit Union"
609,6/30/2024 0:00:00,309,"NY FIREFIGHTERS BRAVEST",499,"Uncle Sam Branch"
609,6/30/2024 0:00:00,309,"NY FIREFIGHTERS BRAVEST",549,"RPI Employees Branch"
624,6/30/2024 0:00:00,321,"UNITED STATES SENATE",225,"USSFCU, US Senate FCU"
640,6/30/2024 0:00:00,328,"MAINE MEDIA",808,"none"
665,6/30/2024 0:00:00,342,"PENINSULA COMMUNITY",14,"Peninsula Credit Union"
761,6/30/2024 0:00:00,375,"SKY",622,"Kasasa"
808,6/30/2024 0:00:00,398,"U.S. EAGLE",364,"The Eagle"
911,6/30/2024 0:00:00,457,"STAR USA",496,"Star Financial Services"
948,6/30/2024 0:00:00,476,"NUSENDA",432,"Nusenda Credit Union"
960,6/30/2024 0:00:00,482,"PACIFIC CREST",1025,"Klamath Public Employees Federal Credit Union"
1040,6/30/2024 0:00:00,524,"CAPITAL EDUCATORS",385,"CapEd"
1115,6/30/2024 0:00:00,556,"COASTLINE",481,"Easy Banking"
1117,6/30/2024 0:00:00,557,"WIDGET",62,"Widget Financial"
1127,6/30/2024 0:00:00,561,"SALEM VA MEDICAL CENTER",59,"Salem VA Credit Union"
1133,6/30/2024 0:00:00,567,"TRADEMARK",1098,"Trademark Federal Credit Union"
1148,6/30/2024 0:00:00,575,"COREPLUS",552,"CPCU"
1148,6/30/2024 0:00:00,575,"COREPLUS",629,"CorePlus Credit Union"
1166,6/30/2024 0:00:00,585,"1166",839,"1166 Federal Credit Union"
1207,6/30/2024 0:00:00,604,"LOS ANGELES",697,"Los Angeles Federal Credit Union"
1207,6/30/2024 0:00:00,604,"LOS ANGELES",698,"LAFCU"
1261,6/30/2024 0:00:00,625,"LANGLEY",610,"Langley Federal Credit Union"
1261,6/30/2024 0:00:00,625,"LANGLEY",611,"Langley FCU"
1367,6/30/2024 0:00:00,677,"UNIVERSITY",1148,"UFCU"
1644,6/30/2024 0:00:00,803,"CORNING",223,"Corning Credit Union"
1644,6/30/2024 0:00:00,803,"CORNING",224,"CCU"
1644,6/30/2024 0:00:00,803,"CORNING",1140,"Corning Credit Union Mortgage"
1644,6/30/2024 0:00:00,803,"CORNING",1141,"CCU Mortgage"
1682,6/30/2024 0:00:00,820,"LIBERTY",556,"First Liberty Financial Mortgage"
1682,6/30/2024 0:00:00,820,"LIBERTY",620,"Liberty Financial"
1717,6/30/2024 0:00:00,834,"HAWAIIAN FINANCIAL",313,"HiTel FCU"
1717,6/30/2024 0:00:00,834,"HAWAIIAN FINANCIAL",665,"HiFi FCU"
1717,6/30/2024 0:00:00,834,"HAWAIIAN FINANCIAL",666,"Hawaiian Financial FCU"
1718,6/30/2024 0:00:00,835,"HAWAII STATE",325,"HSFCU"
1718,6/30/2024 0:00:00,835,"HAWAII STATE",326,"Hawaii State Federal Credit Unio"
1718,6/30/2024 0:00:00,835,"HAWAII STATE",327,"Hawaii State FCU"
1830,6/30/2024 0:00:00,878,"HONOLULU",475,"Honolulu Credit Union (HOCU)"
1845,6/30/2024 0:00:00,883,"ALOHA PACIFIC",108,"APFCU"
1845,6/30/2024 0:00:00,883,"ALOHA PACIFIC",109,"ALOHA PACIFIC FEDERAL CREDIT UNI"
1845,6/30/2024 0:00:00,883,"ALOHA PACIFIC",110,"ALOHA PACIFIC FCU"
2046,6/30/2024 0:00:00,969,"PAMPA TEACHERS",865,"Catalyst Corporation"
2191,6/30/2024 0:00:00,1034,"FIBRE",551,"TLC, A Division of Fibre Federal"
2357,6/30/2024 0:00:00,1104,"HOUSTON POLICE",562,"Houston Police Credit Union"
2414,6/30/2024 0:00:00,1127,"ROBERTS DAIRY EMPLOYEES",303,"Manufactoring"
2446,6/30/2024 0:00:00,1139,"INTERNAL REVENUE",1143,"INTERNAL REVENUE FEDERAL CREDIT UNION"
2535,6/30/2024 0:00:00,1178,"CANTON SCHOOL EMPLOYEES",355,"CSE FCU"
2551,6/30/2024 0:00:00,1184,"POLICE & FIRE",885,"PFFCU"
2585,6/30/2024 0:00:00,1204,"RED CROWN",25,"Red Crown Credit Union"
2744,6/30/2024 0:00:00,1277,"U. S. EMPLOYEES O. C.",256,"USE Federal Credit Union"
2818,6/30/2024 0:00:00,1308,"HOLYOKE COMMUNITY",27,"Holyoke Credit Union"
2818,6/30/2024 0:00:00,1308,"HOLYOKE COMMUNITY",605,"Imperial Credit Union"
2874,6/30/2024 0:00:00,1334,"BLUESTONE",1076,"Nugget, a division of Bluestone FCU"
2876,6/30/2024 0:00:00,1335,"CHICAGO PATROLMEN'S",444,"National Police Credit Union"
2876,6/30/2024 0:00:00,1335,"CHICAGO PATROLMEN'S",1062,"Akron Fire Police Credit Union"
2953,6/30/2024 0:00:00,1360,"LANAI",68,"Lanai FCU"
3025,6/30/2024 0:00:00,1389,"EMPOWER",1067,"Empower Federal Credit Union"
3025,6/30/2024 0:00:00,1389,"EMPOWER",1068,"Empower FCU"
3061,6/30/2024 0:00:00,1402,"LOUISIANA USA",1091,"Louisiana USA"
3212,6/30/2024 0:00:00,1464,"ANECA",798,"Morgan Stanley"
3212,6/30/2024 0:00:00,1464,"ANECA",799,"JP Morgan"
3212,6/30/2024 0:00:00,1464,"ANECA",800,"HSBC"
3306,6/30/2024 0:00:00,1503,"SJP",470,"SJP Federal Credit Union"
3323,6/30/2024 0:00:00,1511,"TRUENERGY",898,"TruEnergy FCU"
3601,6/30/2024 0:00:00,1631,"NATIONAL INSTITUTES OF HEALTH",452,"NIH Federal Credit Union"
3819,6/30/2024 0:00:00,1719,"UPPER DARBY BELLTELCO",469,"UDBell"
3841,6/30/2024 0:00:00,1729,"GHS",1018,"GHS"
3841,6/30/2024 0:00:00,1729,"GHS",1019,"GHS FCU"
3841,6/30/2024 0:00:00,1729,"GHS",1020,"GHS FEDERAL CREDIT UNION"
3951,6/30/2024 0:00:00,1770,"FIRST HARVEST",1043,"First Harvest Credit Union"
4015,6/30/2024 0:00:00,1797,"GENERATIONS COMMUNITY",484,"GFCU"
4015,6/30/2024 0:00:00,1797,"GENERATIONS COMMUNITY",485,"Generations Federal CU"
4015,6/30/2024 0:00:00,1797,"GENERATIONS COMMUNITY",486,"Generations FCU"
4015,6/30/2024 0:00:00,1797,"GENERATIONS COMMUNITY",589,"Generations"
4015,6/30/2024 0:00:00,1797,"GENERATIONS COMMUNITY",762,"Generations Community Federal CU"
4024,6/30/2024 0:00:00,1802,"TRUECORE",417,"TrueCore Federal Credit Union"
4043,6/30/2024 0:00:00,1811,"GENERAL ELECTRIC EMPLOYEES",675,"GE Credit Union"
4088,6/30/2024 0:00:00,1828,"STANWOOD AREA",1029,"Stanwood FCU"
4122,6/30/2024 0:00:00,1840,"HIGHMARK",1036,"Highmark Credit Union"
4142,6/30/2024 0:00:00,1849,"KINECTA",258,"Stylized ""O"""
4142,6/30/2024 0:00:00,1849,"KINECTA",259,"Protecting What's Essential"
4142,6/30/2024 0:00:00,1849,"KINECTA",263,"Kinecta Federal Credit Union"
4142,6/30/2024 0:00:00,1849,"KINECTA",264,"Kinecta Express"
4142,6/30/2024 0:00:00,1849,"KINECTA",265,"Kinecta"
4142,6/30/2024 0:00:00,1849,"KINECTA",690,"wealth management"
4142,6/30/2024 0:00:00,1849,"KINECTA",691,"volunteer corps"
4142,6/30/2024 0:00:00,1849,"KINECTA",692,"Kinecta Financial & Insurance Service"
4142,6/30/2024 0:00:00,1849,"KINECTA",693,"Kinecta Credit Union"
4142,6/30/2024 0:00:00,1849,"KINECTA",694,"banking done different"
4142,6/30/2024 0:00:00,1849,"KINECTA",1129,"Ready for Banking Done Different"
4170,6/30/2024 0:00:00,1860,"ABYSSINIAN BAPTIST CHURCH",618,"NA"
4240,6/30/2024 0:00:00,1886,"CHOICE ONE COMMUNITY",449,"Choice One CU"
4281,6/30/2024 0:00:00,1900,"ATLANTIC REGIONAL",505,"Atlantic Federal Credit Union"
4524,6/30/2024 0:00:00,1987,"SOMERVILLE MUNICIPAL",379,"Somerville's Credit Union"
4584,6/30/2024 0:00:00,2013,"AUSTIN TELCO",613,"Austin Telco Retirement & Invest"
4735,6/30/2024 0:00:00,2066,"BETHPAGE",1122,"Bethpage Financial Group"
4792,6/30/2024 0:00:00,2083,"NET",494,"NET Credit Union"
4878,6/30/2024 0:00:00,2110,"PACIFIC N W",978,"pnwfcu"
4915,6/30/2024 0:00:00,2123,"AVENIR FINANCIAL",1137,"Avenir Financial"
