"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","UPDATE_DATE","ACCT_007","ACCT_008","ACCT_009","ACCT_010","ACCT_011C","ACCT_013","ACCT_018","ACCT_019","ACCT_021B","ACCT_022B","ACCT_023B","ACCT_025A","ACCT_025B","ACCT_031A","ACCT_031B","ACCT_041B","ACCT_042","ACCT_058C","ACCT_065","ACCT_067","ACCT_068","ACCT_069","ACCT_080","ACCT_083","ACCT_084","ACCT_100","ACCT_300","ACCT_340","ACCT_380","ACCT_386","ACCT_387","ACCT_388","ACCT_392","ACCT_400","ACCT_457","ACCT_521","ACCT_522","ACCT_523","ACCT_524","ACCT_550","ACCT_551","ACCT_552","ACCT_562","ACCT_563","ACCT_602","ACCT_630","ACCT_652A","ACCT_652B1","ACCT_652B2","ACCT_655A","ACCT_655B1","ACCT_655B2","ACCT_656C","ACCT_657","ACCT_658","ACCT_662","ACCT_668","ACCT_671","ACCT_672A","ACCT_672B1","ACCT_672B2","ACCT_703","ACCT_704","ACCT_705","ACCT_706","ACCT_707","ACCT_708","ACCT_710","ACCT_712","ACCT_713","ACCT_714","ACCT_715","ACCT_716","ACCT_718","ACCT_719","ACCT_720","ACCT_721","ACCT_722","ACCT_723","ACCT_724","ACCT_730","ACCT_741A","ACCT_741B1","ACCT_741B2","ACCT_742A","ACCT_742B1","ACCT_742B2","ACCT_746A","ACCT_746B1","ACCT_746B2","ACCT_749","ACCT_750A","ACCT_750B1","ACCT_750B2","ACCT_751","ACCT_755","ACCT_760C","ACCT_761C","ACCT_771","ACCT_775","ACCT_794","ACCT_798","ACCT_799A","ACCT_799B1","ACCT_799B2","ACCT_825","ACCT_860C","ACCT_880","ACCT_902","ACCT_906A","ACCT_908A","ACCT_908C","ACCT_911","ACCT_931","ACCT_940","ACCT_959","ACCT_960","ACCT_968","ACCT_973","ACCT_975","ACCT_976","ACCT_991","Acct_965A","Acct_965B","Acct_965C","Acct_965D","ACCT_020A","ACCT_020B","ACCT_024A","ACCT_024B","ACCT_042A","ACCT_090A","ACCT_090B","ACCT_090C","ACCT_090D","ACCT_099A","ACCT_143A","ACCT_143B","ACCT_143C","ACCT_143D","ACCT_400A","ACCT_400B","ACCT_400C","ACCT_400D","ACCT_400F","ACCT_459A","ACCT_463A","ACCT_475A","ACCT_475B","ACCT_475C","ACCT_475D","ACCT_691B","ACCT_691C","ACCT_692","ACCT_692A","ACCT_704A","ACCT_704B","ACCT_704C","ACCT_704D","ACCT_704E","ACCT_705A","ACCT_705B","ACCT_708B","ACCT_720A","ACCT_720B","ACCT_720C","ACCT_720D","ACCT_720E","ACCT_721A","ACCT_721B","ACCT_724B","ACCT_733A","ACCT_745C1","ACCT_745C2","ACCT_796C1","ACCT_796C2","ACCT_797C1","ACCT_797C2","ACCT_799C1","ACCT_799C2","ACCT_965C1","ACCT_965C2","ACCT_088","ACCT_799A1","ACCT_672B","ACCT_672C1","ACCT_672C2","ACCT_672D","ACCT_744B","ACCT_744C1","ACCT_744C2","ACCT_744D","ACCT_652B","ACCT_652C1","ACCT_652C2","ACCT_652D","ACCT_766A","ACCT_766B","ACCT_766C1","ACCT_766C2","ACCT_766D","ACCT_766E","ACCT_798A1","ACCT_798A2","ACCT_798A3","ACCT_009A","ACCT_009B","ACCT_009C","ACCT_769A1","ACCT_769B1","ACCT_616","ACCT_616A","ACCT_704A1","ACCT_704C1","ACCT_980","ACCT_742C1","ACCT_742C2","ACCT_020J","ACCT_020K","ACCT_020L","ACCT_021J","ACCT_021K","ACCT_021L","ACCT_022J","ACCT_022K","ACCT_022L","ACCT_023J","ACCT_023K","ACCT_023L","ACCT_041J","ACCT_041K","ACCT_041L","Acct_1019","Acct_1019A","Acct_1019B","Acct_1019C","Acct_1019D","Acct_1019E","Acct_789A","Acct_789A1","Acct_789B","Acct_789B1"
1,9/30/2024 0:00:00,2,10/30/2024 10:54:41 PM,41544,5201,0,11419048,0,10056100,10056100,0,18222,0,0,775,8941424,331,2850146,41726,0,0,0,0,0,0,0,1263,2000,0,0,0,106588,0,0,0,0,0,0,0,925,674,674,23748,1547,0,0,0,64951,80905,0,0,0,0,0,0,0,6402941,203072,0,0,309093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97518,0,0,0,0,5479,0,0,560964,0,951986,3011290,0,0,1089446,0,0,251,0,0,0,0,0,0,0,0,0,80445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,9/30/2024 0:00:00,7,10/30/2024 10:31:11 PM,2888211,826725,0,270329243,0,205667270,236421270,0,1067639,745656,468070,20552,199369178,3800,51705291,2880328,0,0,0,0,0,0,0,28622,70000,0,0,11512,2549521,0,0,0,0,0,30754,1069,1210,531,690,1678207,402790,0,0,0,0,367542,0,0,0,0,0,0,0,114953873,0,0,0,10973994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2309148,0,0,0,0,5541424,7014068,30754000,43477831,5543625,30406098,37402205,2796935,0,22345037,0,0,3210,0,0,0,0,0,0,0,0,0,3021228,0,578212,0,0,0,0,0,0,0,0,0,0,1207318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691933,59346,9433004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9/30/2024 0:00:00,11,10/25/2024 10:27:08 PM,4917054,548121,0,58700838,0,53571526,53571526,0,183896,41473,0,8571,28902875,3169,11602750,269909,0,0,0,0,0,0,0,9059,19059,0,0,15588,274645,0,0,0,0,0,0,1243,1050,800,875,377994,91006,0,0,0,-56536,360849,0,0,0,0,0,0,0,24298390,0,0,0,3567229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,516956,0,0,0,0,297972,0,0,14710104,821117,2294538,3649776,9357174,0,6141323,0,0,342,0,0,0,0,0,0,0,0,0,227518,0,20591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84707,52147,3294074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,9/30/2024 0:00:00,12,10/25/2024 10:09:08 PM,17921895,565940,0,1125128209,0,890457449,973434627,0,1522428,482218,182764,37060,990240146,12740,332723000,3390419,0,0,0,0,0,0,0,67571,849530,0,0,1703699,21810627,0,0,0,0,0,22,1100,950,364,364,2423262,499692,0,0,0,0,234295,0,0,0,0,0,0,0,166568234,0,0,0,18575228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8037974,0,0,0,0,6357020,55000000,82977178,115269478,31729379,250256496,491821406,26546093,0,91421590,0,0,12538,0,0,0,0,0,0,0,0,0,17562036,0,134021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3733156,124868,6739158,0,0,0,0,0,32289731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9/30/2024 0:00:00,14,10/14/2024 10:03:39 PM,0,1360,0,9502892,0,8200993,8200993,0,0,0,14747,278,3756830,46,835916,14747,0,0,0,0,0,0,0,885,1320,0,0,45,37575,0,0,0,0,0,0,1490,1000,649,674,21311,3489,0,0,0,0,0,0,0,0,0,0,0,0,5024453,479075,0,0,274796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80311,0,0,0,0,-16612,0,0,1825641,186133,1164765,1164765,0,0,808398,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6156,14739,19831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,9/30/2024 0:00:00,16,10/29/2024 10:32:38 PM,0,0,0,9602721,0,6570065,6570065,0,1382,315,0,232,1572490,139,765400,1697,0,0,0,0,0,0,0,1091,2500,0,0,0,76554,0,0,0,0,0,0,0,990,565,595,0,785,0,0,0,0,0,0,0,0,0,0,0,0,6570065,91769,0,0,104699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68688,0,0,0,0,2408,0,0,0,0,0,0,0,0,2938479,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1072,2723,9177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,9/30/2024 0:00:00,17,10/31/2024 10:06:24 PM,3268982,165598,0,329619979,0,275443104,275443104,0,105670,349134,102617,17939,243208115,1395,47603231,584363,0,0,0,0,0,0,0,21933,25000,0,0,0,4229417,0,0,0,0,0,0,850,824,640,640,297814,28522,0,0,0,0,0,0,0,0,0,0,0,0,76139652,0,0,0,6020094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495024,0,0,0,0,2909065,0,0,29427601,13389213,108654675,115186580,38824661,0,52148773,0,0,3342,0,0,0,0,0,0,0,0,0,379583,0,64730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,854837,165257,1833962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9/30/2024 0:00:00,19,10/18/2024 10:07:16 PM,129682,35645,0,20941002,0,18707539,18707539,0,0,0,0,458,6008272,62,1109988,14967,0,0,0,0,0,0,0,1956,14437,0,10773,0,57374,0,0,0,0,0,0,1000,1019,459,559,11868,579,0,0,0,62529,13470,0,0,0,0,0,0,0,11655486,603146,0,0,477091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184401,0,0,0,0,99312,0,0,3695620,0,1319328,3342963,0,0,1468476,0,0,56,0,0,0,0,0,0,0,0,0,16930,0,1814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13685,0,51747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9/30/2024 0:00:00,21,10/29/2024 10:18:34 PM,54457528,5223057,0,1371241672,0,1126730606,1163004606,0,8282135,1961159,249218,55127,1169469669,11285,338216434,19029332,0,0,0,0,0,0,0,137865,1059798,0,0,14179770,20551610,0,0,0,0,0,36274,990,1199,999,1049,10723746,2349521,0,0,0,0,0,0,0,0,0,0,0,0,240481000,0,0,0,37565765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11090576,0,0,0,0,22124388,78563409,36274000,232335572,36330488,344078463,411783025,188983730,0,120314560,0,0,22999,0,0,0,0,0,0,0,0,0,16319634,0,0,0,0,0,0,0,0,0,0,0,0,88316603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5426472,528847,33505689,0,0,0,0,0,14382237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,9/30/2024 0:00:00,29,10/30/2024 10:15:51 PM,1935783,386242,0,145538238,0,127966426,127966426,0,343770,338079,129223,6638,81477497,734,18168014,1527523,0,0,0,0,0,0,0,14295,244000,0,0,0,936674,0,0,0,0,0,0,895,1155,475,599,285320,53715,0,0,0,0,169792,0,0,0,0,0,0,0,68244769,0,0,0,3617602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1225791,0,0,0,0,1668153,0,0,22071073,5076584,19370284,21753162,9883900,0,14604347,0,0,763,0,0,0,0,0,0,0,0,0,855742,0,29862,0,0,0,0,0,0,0,0,0,0,222534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242105,206990,527561,0,0,0,0,0,12818874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
