"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_811B3","ACCT_811B4","ACCT_811B5","ACCT_811C3","ACCT_811C4","ACCT_811C5","ACCT_811D","ACCT_811D1","ACCT_811D2","ACCT_811E","ACCT_811E1","ACCT_811E2","ACCT_812A1","ACCT_812B1","ACCT_812C","ACCT_813A1","ACCT_813A2","ACCT_813B1","ACCT_814A6","ACCT_814A7","ACCT_814A8","ACCT_814J3","ACCT_814J4","ACCT_814J5","ACCT_814K","ACCT_814K1","ACCT_814K2","ACCT_815A1","ACCT_815B1","ACCT_815C","ACCT_816B3","ACCT_816B4","ACCT_816B5","ACCT_816T","ACCT_816T1","ACCT_816T2","ACCT_822A1","ACCT_822B1","ACCT_822C","ACCT_900A1","ACCT_900B1","ACCT_900C5","ACCT_900C6","ACCT_900C7","ACCT_900C8","ACCT_900H2","ACCT_900H3","ACCT_900J2","ACCT_900J3","ACCT_900K2","ACCT_900K3","ACCT_900K4","ACCT_900L2","ACCT_900L3","ACCT_900M","ACCT_900M1","ACCT_900P","ACCT_900T1","ACCT_959A","ACCT_960A","ACCT_960B","ACCT_961A5","ACCT_961A6","ACCT_961A7","ACCT_961A8","ACCT_961A9","ACCT_963C"
1,12/31/2024 0:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
6,12/31/2024 0:00:00,7,0,0,0,0,0,0,1421682,0,0,0,0,0,0,0,33431215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16278,0,0,4858742,39786232,0,0,0,0,58315,14,2,1,3,0,0,1,2,4,0,5,2,7,5,0,0,0,9,16,204,207,0,0,0,0,0,0,728
12,12/31/2024 0:00:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422937,0,0,0,3238162,0,0,0,0,28080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,98,0,0,0,0,0,0,23
13,12/31/2024 0:00:00,12,0,0,0,0,0,0,58962170,0,0,0,0,0,0,0,32658617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30707726,122570059,0,0,0,0,241546,0,3,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,1897,1558,0,0,0,0,0,0,1022
16,12/31/2024 0:00:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40661,0,0,0,340261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,4
19,12/31/2024 0:00:00,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
22,12/31/2024 0:00:00,17,0,0,0,0,0,0,74184160,0,0,0,0,0,0,0,47706106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,521502,0,0,41861,122483869,0,0,0,0,30240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,2569,0,0,0,0,0,0,130
26,12/31/2024 0:00:00,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536198,0,0,0,0,124948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,50
28,12/31/2024 0:00:00,21,0,0,0,0,0,0,76695188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21108041,0,0,0,0,9765553,0,0,490925,146441479,0,0,0,0,59489813,370,9,1,6,0,0,0,0,167,9,214,9,228,149,0,9,0,155,379,2148,3842,15,0,0,0,0,0,2901
42,12/31/2024 0:00:00,29,0,0,0,0,0,0,16622734,0,0,0,0,0,0,0,9469704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26941010,0,0,0,0,848572,10,0,0,0,0,0,1,0,6,0,7,0,7,3,0,0,0,3,10,198,684,0,0,0,0,0,0,36
47,12/31/2024 0:00:00,30,0,0,0,0,0,0,3120582,0,0,0,0,0,0,0,2467904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236708,0,0,0,5825194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,103,0,0,0,0,0,0,129
48,12/31/2024 0:00:00,31,0,0,0,0,0,0,32383,0,0,0,0,0,0,0,1759762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159072,0,0,165514,2116731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,23,6,0,0,0,0,0,104
51,12/31/2024 0:00:00,32,0,0,0,0,0,0,476036546,0,0,0,0,0,0,0,617960150,0,0,0,0,0,0,0,0,0,45107288,0,0,0,0,54275378,0,0,137442515,1552261737,0,0,0,0,266547148,647,13,7,11,0,0,97,2,152,11,382,13,395,247,0,129,0,264,660,21628,19141,4,0,0,0,0,0,5644
53,12/31/2024 0:00:00,33,0,0,0,0,0,0,2964864,0,0,0,0,0,0,0,6056459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10151038,0,0,0,0,1129715,0,18,0,0,0,0,0,0,0,14,0,18,18,0,0,0,4,0,18,74,112,0,0,0,0,0,0,12
60,12/31/2024 0:00:00,35,0,0,0,0,0,0,27005891,0,0,0,0,0,0,0,36018598,0,0,0,0,0,0,0,0,0,534172,0,0,0,0,2370309,0,0,0,70581553,0,0,0,0,5186755,69,9,0,0,0,0,20,9,5,0,30,9,39,39,0,5,0,39,78,480,1213,0,0,0,0,0,0,1205
77,12/31/2024 0:00:00,41,0,0,0,0,0,0,2354087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275000,0,0,0,0,22679,0,0,0,7871754,0,0,0,0,5494988,43,5,0,0,0,0,8,0,0,2,21,5,26,22,0,9,0,22,48,88,143,0,0,0,0,0,0,274
79,12/31/2024 0:00:00,43,0,0,0,0,0,0,34272247,0,0,0,0,0,0,0,35870205,0,0,0,0,0,0,0,0,0,8938066,0,0,0,0,0,0,0,8782592,96880804,0,0,0,0,17955760,294,0,25,119,0,0,66,0,30,0,114,0,114,36,0,12,0,180,294,1048,1018,3,0,0,0,0,0,1417
82,12/31/2024 0:00:00,46,0,0,0,0,0,0,46603943,0,0,0,0,0,0,0,11229648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9334275,0,0,11731761,79446556,0,0,0,0,546929,25,3,0,0,0,0,3,0,15,3,25,3,28,0,0,7,0,0,28,733,629,0,0,0,0,0,0,51
