"CU_NUMBER","Cycle_date","join_number","USER_ID","ACCT_RB0026","ACCT_RB0027","ACCT_RB0028","ACCT_RB0029","ACCT_RB0030","ACCT_RB0031","ACCT_RB0032","ACCT_RB0033","ACCT_RB0034","ACCT_RB0035","ACCT_RB0036","ACCT_RB0037","ACCT_RB0038","ACCT_RB0039","ACCT_RB0040","ACCT_RB0041","ACCT_RB0042","ACCT_RB0043","ACCT_RB0044","ACCT_RB0045","ACCT_RB0046","ACCT_RB0047","ACCT_RB0048","ACCT_RB0049","ACCT_RB0050","ACCT_RB0051","ACCT_RB0052","ACCT_RB0053","ACCT_RB0054","ACCT_RB0055","ACCT_RB0056","ACCT_RB0057","ACCT_RB0058","ACCT_RB0059","ACCT_RB0060","ACCT_RB0061","ACCT_RB0062","ACCT_RB0063","ACCT_RB0064","ACCT_RB0065","ACCT_RB0066","ACCT_RB0067","ACCT_RB0068","ACCT_RB0069","ACCT_RB0070","ACCT_RB0071","ACCT_RB0072","ACCT_RB0073","ACCT_RB0074","ACCT_RB0075","ACCT_RB0076","ACCT_RB0077","ACCT_RB0078","ACCT_RB0079","ACCT_RB0080","ACCT_RB0081","ACCT_RB0082","ACCT_RB0083","ACCT_RB0084","ACCT_RB0085","ACCT_RB0086","ACCT_RB0087","ACCT_RB0088","ACCT_RB0089","ACCT_RB0090","ACCT_RB0091","ACCT_RB0092","ACCT_RB0093","ACCT_RB0094","ACCT_RB0095","ACCT_RB0096","ACCT_RB0097","ACCT_RB0098","ACCT_RB0099","ACCT_RB0100","ACCT_RB0101","ACCT_RB0102","ACCT_RB0103","ACCT_RB0104","ACCT_RB0105","ACCT_RB0106","ACCT_RB0107","ACCT_RB0108","ACCT_RB0109","ACCT_RB0110","ACCT_RB0111","ACCT_RB0112","ACCT_RB0113","ACCT_RB0114","ACCT_RB0115","ACCT_RB0116","ACCT_RB0117","ACCT_RB0118","ACCT_RB0119","ACCT_RB0120","ACCT_RB0121","ACCT_RB0122","ACCT_RB0123","ACCT_RB0124","ACCT_RB0125","ACCT_RB0126","ACCT_RB0127","ACCT_RB0128","ACCT_RB0129","ACCT_RB0130","ACCT_RB0131","ACCT_RB0132","ACCT_RB0133","ACCT_RB0134","ACCT_RB0135","ACCT_RB0136","ACCT_RB0137","ACCT_RB0138","ACCT_RB0139","ACCT_RB0140","ACCT_RB0141","ACCT_RB0142","ACCT_RB0143","ACCT_RB0144","ACCT_RB0145","ACCT_RB0146","ACCT_RB0147","ACCT_RB0148","ACCT_RB0149","ACCT_RB0150","ACCT_RB0151","ACCT_RB0152","ACCT_RB0153","ACCT_RB0154","ACCT_RB0155","ACCT_RB0156","ACCT_RB0157","ACCT_RB0158","ACCT_RB0159","ACCT_RB0160","ACCT_RB0161","ACCT_RB0162","ACCT_RB0163","ACCT_RB0164","ACCT_RB0165","ACCT_RB0166","ACCT_RB0167","ACCT_RB0168","ACCT_RB0169","ACCT_RB0170","ACCT_RB0171","ACCT_RB0172","ACCT_RB0177","ACCT_RL0001","ACCT_RL0002","ACCT_RL0003","ACCT_RL0004","ACCT_RL0005","ACCT_RL0006","ACCT_RL0007","ACCT_RL0008","ACCT_RL0009","ACCT_RL0010","ACCT_RL0011","ACCT_RL0012","ACCT_RL0013","ACCT_RL0014","ACCT_RL0015","ACCT_RL0016","ACCT_RL0017","ACCT_RL0018","ACCT_RL0019","ACCT_RL0020","ACCT_RL0021","ACCT_RL0022","ACCT_RL0023","ACCT_RL0024","ACCT_RL0025","ACCT_RL0026","ACCT_RL0027","ACCT_RL0028","ACCT_RL0029","ACCT_RL0030","ACCT_RL0031","ACCT_RL0032","ACCT_RL0033","ACCT_RL0034","ACCT_RL0035","ACCT_RL0036","ACCT_RL0037","ACCT_RL0038","ACCT_RL0039","ACCT_RL0040","ACCT_RL0041","ACCT_RL0042","ACCT_RL0043","ACCT_RL0044","ACCT_RL0045","ACCT_RL0046","ACCT_RL0047","ACCT_RL0048","ACCT_RL0050","ACCT_SH0013","ACCT_SH0018","ACCT_SH0880","ACCT_SL0018","ACCT_SL0019","ACCT_SL0020","ACCT_SL0021","ACCT_SL0022","ACCT_SL0023","ACCT_SL0024","ACCT_SL0026","ACCT_SL0028","ACCT_SL0029","ACCT_SL0030","ACCT_SL0032","ACCT_SL0033","ACCT_SL0034","ACCT_SL0035","ACCT_LR0001","ACCT_LR0002","ACCT_LR0003","ACCT_LR0004","ACCT_LR0005","ACCT_LR0006","ACCT_LR0007","ACCT_LR0008","ACCT_LQ0060","ACCT_LQ0061","ACCT_LQ0062","ACCT_NW0004"
1,12/31/2024 0:00:00,2,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,2361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9163389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27375,27375,9136014,0,-27375,-27375,0,0,0,0,0,144909,0,97518,97518,0,0,0,0,0,0,0,11835153,70143,70143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11835153,0,0,27375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10456209,10456209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2475
6,12/31/2024 0:00:00,7,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,32428891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166789542,0,0,0,0,0,0,0,1775058,0,0,0,0,0,0,0,0,3495865,3495865,199774242,0,-3495865,-3495865,0,0,0,0,0,17154776,0,2358767,2358767,0,0,0,0,0,0,0,269952063,-1137098,-1137098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269952063,0,0,3495865,97,16341739,1568500,84,5771758,717775,7,844544,0,16,938729,275400,0,0,0,23896770,2561675,104,5140747,1351000,0,0,0,0,0,0,103,5667990,1122900,10808737,2473900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,34705507,5035575,8075368,204597639,235351639,30754000,306,5427305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12/31/2024 0:00:00,11,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,6208198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23576521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,996856,996856,31017659,0,-996856,-996856,0,0,0,0,0,9429624,0,545246,545246,0,0,0,0,0,0,0,60540924,-451610,-451610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60540924,0,0,996856,7,685057,0,62,3183848,220000,0,0,0,0,0,0,0,0,0,3868905,220000,95,4541205,2278952,0,0,0,0,0,0,2,27882,0,4569087,2278952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,8437992,2498952,0,55308290,55308290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,12/31/2024 0:00:00,12,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,5200012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647226283,0,0,0,0,0,0,0,1094669,0,0,0,0,0,0,-294012,0,3555102,3555102,1014021616,-294012,-3555102,-3555102,0,0,0,0,0,41308854,0,8315000,8315000,0,0,0,0,0,0,0,1166537765,4759898,4759898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1166537765,0,0,3555102,315,72917086,41201621,841,87431126,44228582,0,0,0,320,104660361,18134447,421,24488399,13009768,289496972,116574418,0,0,0,0,0,0,0,0,0,1558,79464782,38053589,79464782,38053589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3455,368961754,154628007,224737959,930699777,1013742211,83042434,3,1094669,0,0,12,4270853,12,0,10,3952163,237,0,0,0,0,1,60620062,519,0,0,0,0,0,225000000,0,0,751817
16,12/31/2024 0:00:00,14,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,40341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2651180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34690,34690,3557176,0,-34690,-34690,0,0,0,0,0,130910,0,80311,80311,0,0,0,0,0,0,0,9364728,45621,45621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9364728,0,0,34690,1,68696,0,1,68365,0,7,576628,0,0,0,0,0,0,0,713689,0,4,171754,0,5,55240,0,0,0,0,0,0,0,226994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,940683,0,0,8039125,8039125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,12/31/2024 0:00:00,16,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,6973857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1540725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33483,33483,1507242,0,-33483,-33483,0,0,0,0,0,92485,0,68688,68688,0,0,0,0,0,0,0,9594785,35205,35205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9594785,0,0,33483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6517877,6517877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12/31/2024 0:00:00,17,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,34272206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97788014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1686014,1686014,236726697,0,-1686014,-1686014,0,0,0,0,0,8538523,0,2644169,2644169,0,0,0,0,0,0,0,335957774,958155,958155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335957774,0,0,1686014,26,5968222,0,34,4550613,0,0,0,0,0,0,0,5,711590,0,11230425,0,1025,73910082,6765556,0,0,0,0,0,0,1544,55484192,29568854,129394274,36334410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2634,140624699,36334410,74223057,281021261,281021261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5146418,0,378509
26,12/31/2024 0:00:00,19,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,111464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4888438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67527,67527,6020444,0,-67527,-67527,0,0,0,0,0,401226,0,184402,184402,0,0,0,0,0,0,0,20912657,116875,116875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20912657,0,0,67527,0,0,0,20,1199533,0,0,0,0,0,0,0,0,0,0,1199533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1199533,0,0,18579658,18579658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17546
28,12/31/2024 0:00:00,21,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,74137853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,541378615,0,0,0,0,0,0,0,100356975,0,0,0,0,0,0,-688180,0,16307966,16307966,1129297109,-688180,-16307966,-16307966,0,0,0,0,0,119497340,0,11379332,11379332,0,0,0,0,0,0,0,1350712685,-4928634,-4928634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350712685,0,0,16307966,1036,187086242,57497624,771,58320056,650678,8,528436,0,0,0,0,316,84612510,150000,330547244,58298302,1251,54736455,17763842,0,0,0,0,0,0,2591,117897605,70018921,172634060,87782763,7,267304,136632,8,149754,0,0,0,0,0,0,0,417058,136632,5988,503598362,146217697,164741139,1140823265,1169720265,28897000,9,11833915,0,0,1489,63620993,167,0,167,37545493,2807,1322,26075500,1868,30802840,1,98843708,731,0,0,0,0,0,0,54656890,0,3783420
42,12/31/2024 0:00:00,29,Subm,0,0,0,0,0,0,0,0,0,0,0,0,0,24752000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31741613,0,0,0,0,0,0,0,427978,0,0,0,0,0,0,0,0,332674,332674,80037154,0,-332674,-332674,0,0,0,0,0,4491714,0,1225791,1225791,0,0,0,0,0,0,0,147668866,893117,893117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147668866,0,0,332674,71,9823470,165000,126,9664368,0,0,0,0,0,0,0,1,112481,0,19600319,165000,233,14153840,4038074,20,1399319,0,0,0,0,431,13046760,5406400,28599919,9444474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882,48200238,9609474,15125374,130140257,130140257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67116
