"CU_NUMBER","CYCLE_DATE","JOIN_NUMBER","ACCT_PG0001","ACCT_PP0037","ACCT_PP0038","ACCT_PP0039","ACCT_PP0040","ACCT_PP0041","ACCT_PP0042","ACCT_PP0043","ACCT_PP0044","ACCT_PP0045","ACCT_PP0046","ACCT_PP0047","ACCT_PP0048","ACCT_PR0001","ACCT_PR0002","ACCT_PR0003","ACCT_PR0004","BoardAsianAmerican","BoardBlackAmerican","BoardHispanicAmerican","BoardMinorityStatus","BoardNativeAmerican","CurMemAsianAmerican","CurMemBlackAmerican","CurMemHispanicAmerican","CurMemMinorityStatus","CurMemNativeAmerican","EligibleMinorityStatus","FOMAsianAmerican","FOMBlackAmerican","FOMHispanicAmerican","FOMMinorityStatus","FOMNativeAmerican","MemberMinorityStatus"
1,12/31/2024 0:00:00,2,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
6,12/31/2024 0:00:00,7,"5493006GFSNOUCCL1W91","1","1","1","1","1","0","0","0","1","0","1","0","1","1","1","Feb 20 2024  6:00AM","1","1","1","1","","","","","","","","","","","","",""
12,12/31/2024 0:00:00,11,"254900TYE85Q9OTQ5038","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","Feb 21 2024  5:00AM","","","","","","","","","","","","","","","","",""
13,12/31/2024 0:00:00,12,"549300U18MOAH5F95P15","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","Feb 14 2024  6:00AM","","","","","","","","","","","","","","","","",""
16,12/31/2024 0:00:00,14,"","1","0","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
19,12/31/2024 0:00:00,16,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","1","1","1","","","1","1","1","","","","","","","",""
22,12/31/2024 0:00:00,17,"5493001BJFQ0EM41N379","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb  5 2024  5:00AM","","","","","","","","","","","","","","","","",""
26,12/31/2024 0:00:00,19,"","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","",""
28,12/31/2024 0:00:00,21,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
42,12/31/2024 0:00:00,29,"2549001jpw8twjymne74","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","Feb 29 2024  5:00AM","","","","","","","","","","","","","","","","",""
47,12/31/2024 0:00:00,30,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
48,12/31/2024 0:00:00,31,"","1","0","0","0","0","0","0","1","1","0","0","1","1","","","","","","","","","","","","","","","","","","","",""
51,12/31/2024 0:00:00,32,"5493008RNHC5I1E3IZ56","1","0","0","0","0","0","0","0","0","0","1","0","1","1","1","Feb 21 2023  5:00AM","","","","","","","","","","","","","","","","",""
53,12/31/2024 0:00:00,33,"","0","0","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","","","","","","","","","","","","","",""
60,12/31/2024 0:00:00,35,"549300REHZOIYMHDP161","1","1","0","0","0","0","0","0","1","0","1","0","1","1","1","Jan 31 2024  6:00AM","","","","","","","","","","","","","","","","",""
